campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,campaign_duration,net_profit,start_month,start_month_name,start_quarter,start_year,end_month,end_month_name,end_quarter,end_year,start_day_of_week,campaign_quarter,revenue_category,roi_performance,budget_category,conversion_performance,profit_margin,revenue_per_day,is_profitable,is_high_performing,is_holiday_campaign,is_long_campaign,is_digital,cost_per_conversion
User-centric discrete algorithm,2022-09-17,2024-07-25,41022.86,0.64,email,B2B,promotion,0.53,553643.5,677,512620.64,9,September,3,2022,7,July,3,2024,Saturday,3Q2022,medium revenue,Alto,medium budget,Media,0.9259038352297101,817.7895125553914,1,1,0,1,0,774.0162264150944
Cloned discrete customer loyalty,2023-03-21,2023-10-11,69490.13,0.56,email,B2C,paid,0.5,690561.8,204,621071.67,3,March,1,2023,10,October,4,2023,Tuesday,1Q2023,high revenue,Medio,high budget,Media,0.8993715986027608,3385.106862745098,1,1,0,0,1,1389.8026
Function-based motivating algorithm,2022-11-18,2024-05-08,16205.28,0.11,email,B2B,referral,0.86,632469.27,537,616263.99,11,November,4,2022,5,May,2,2024,Friday,4Q2022,medium revenue,Muy bajo,low budget,Alta,0.9743777590965012,1177.782625698324,1,0,1,1,0,188.43348837209302
Devolved local Graphic Interface,2023-01-04,2024-06-06,71575.57,0.58,email,B2C,promotion,0.81,295020.93,519,223445.36,1,January,1,2023,6,June,2,2024,Wednesday,1Q2023,low revenue,Medio,high budget,Alta,0.7573881622568269,568.4410982658959,1,1,1,1,0,883.6490123456791
Synergized 24hour strategy,2022-09-13,2023-09-24,78034.3,0.9,podcast,B2B,paid,0.36,718941.54,376,640907.24,9,September,3,2022,9,September,3,2023,Tuesday,3Q2022,high revenue,Muy alto,high budget,Media,0.8914594641450263,1912.0785638297873,1,1,0,1,1,2167.6194444444445
Function-based exuding strategy,2023-04-30,2024-02-25,87156.45,0.4,social media,B2C,referral,0.99,95274.7,301,8118.25,4,April,2,2023,2,February,1,2024,Sunday,2Q2023,low revenue,Medio,high budget,Muy alta,0.08520887496890571,316.5272425249169,1,0,0,0,0,880.3681818181818
Synergistic intermediate middleware,2023-07-22,2023-10-27,28984.24,0.1,webinar,B2C,paid,0.93,224410.83,97,195426.59,7,July,3,2023,10,October,4,2023,Saturday,3Q2023,low revenue,Muy bajo,low budget,Muy alta,0.8708429535241237,2313.513711340206,1,0,0,0,1,311.65849462365594
Grass-roots 24/7 orchestration,2023-01-21,2024-06-25,39758.97,0.5,social media,B2C,promotion,0.56,81674.81,521,41915.84,1,January,1,2023,6,June,2,2024,Saturday,1Q2023,low revenue,Medio,medium budget,Media,0.5132040099021963,156.76547024952015,1,0,1,1,0,709.9816071428571
Adaptive needs-based initiative,2023-06-04,2024-07-06,46618.3,0.72,email,B2C,organic,0.23,854112.83,398,807494.5299999999,6,June,2,2023,7,July,3,2024,Sunday,2Q2023,high revenue,Alto,medium budget,Baja,0.9454190379039266,2146.012135678392,1,1,0,1,1,2026.8826086956524
Automated 5thgeneration attitude,2023-02-05,2024-06-03,96380.65,0.99,email,B2B,referral,0.18,35031.43,484,-61349.219999999994,2,February,1,2023,6,June,2,2024,Sunday,1Q2023,low revenue,Muy alto,high budget,Baja,-1.751262223666005,72.37898760330579,1,1,0,1,0,5354.480555555555
Mandatory secondary access,2022-08-03,2023-11-04,44406.38,0.17,email,B2B,promotion,0.21,438753.14,458,394346.76,8,August,3,2022,11,November,4,2023,Wednesday,3Q2022,medium revenue,Muy bajo,medium budget,Baja,0.8987896018248439,957.976288209607,1,0,0,1,0,2114.5895238095236
Digitized analyzing paradigm,2022-09-28,2023-11-04,31010.8,0.5,email,B2B,referral,0.32,759445.2,402,728434.3999999999,9,September,3,2022,11,November,4,2023,Wednesday,3Q2022,high revenue,Medio,medium budget,Media,0.9591665073398317,1889.1671641791045,1,0,0,1,0,969.0875
Object-based intangible artificial intelligence,2023-03-27,2023-10-06,19288.56,0.5,webinar,B2B,promotion,0.44,138967.65,193,119679.09,3,March,1,2023,10,October,4,2023,Monday,1Q2023,low revenue,Medio,low budget,Media,0.8612010780926352,720.0396373056994,1,0,0,0,0,438.3763636363637
Proactive mission-critical structure,2022-11-18,2024-06-28,54317.78,0.9,social media,B2C,paid,0.35,190911.53,588,136593.75,11,November,4,2022,6,June,2,2024,Friday,4Q2022,low revenue,Muy alto,high budget,Media,0.7154819302951477,324.67947278911566,1,1,1,1,1,1551.9365714285714
Object-based grid-enabled model,2023-03-27,2023-08-30,41357.61,0.56,social media,B2B,paid,0.65,869961.43,156,828603.8200000001,3,March,1,2023,8,August,3,2023,Monday,1Q2023,high revenue,Medio,medium budget,Alta,0.9524604096528739,5576.675833333334,1,1,0,0,1,636.270923076923
Seamless executive standardization,2022-11-26,2024-06-12,16261.19,0.49,webinar,B2C,referral,0.52,546988.28,564,530727.0900000001,11,November,4,2022,6,June,2,2024,Saturday,4Q2022,medium revenue,Medio,low budget,Media,0.9702714105684312,969.8373758865249,1,0,1,1,0,312.7151923076923
De-engineered homogeneous array,2022-10-11,2024-06-07,27126.77,0.3,webinar,B2C,promotion,0.79,725838.96,605,698712.19,10,October,4,2022,6,June,2,2024,Tuesday,4Q2022,high revenue,Bajo,low budget,Alta,0.9626270130222825,1199.7338181818182,1,0,0,1,0,343.376835443038
Inverse heuristic projection,2023-03-27,2023-12-10,97754.27,0.87,social media,B2C,organic,0.56,368164.25,258,270409.98,3,March,1,2023,12,December,4,2023,Monday,1Q2023,low revenue,Muy alto,high budget,Media,0.7344819058341487,1426.9932170542636,1,1,0,0,1,1745.611964285714
Diverse asymmetric orchestration,2023-02-22,2023-08-02,86507.56,0.39,email,B2C,paid,0.4,468536.15,161,382028.59,2,February,1,2023,8,August,3,2023,Wednesday,1Q2023,medium revenue,Bajo,high budget,Media,0.8153663063138245,2910.1624223602485,1,0,0,0,1,2162.689
Reactive zero tolerance core,2023-05-14,2024-07-29,75067.13,0.95,podcast,B2C,promotion,0.44,967358.1,442,892290.97,5,May,2,2023,7,July,3,2024,Sunday,2Q2023,high revenue,Muy alto,high budget,Media,0.922399853787341,2188.5929864253394,1,1,0,1,0,1706.0711363636365
Reverse-engineered 24/7 help-desk,2023-01-19,2023-09-19,46839.92,0.65,social media,B2B,paid,0.28,168009.32,243,121169.40000000001,1,January,1,2023,9,September,3,2023,Thursday,1Q2023,low revenue,Alto,medium budget,Baja,0.7212064187867673,691.396378600823,1,1,1,0,1,1672.8542857142854
Optimized 24hour budgetary management,2022-12-21,2024-02-25,73305.28,0.61,podcast,B2C,paid,0.48,776332.85,431,703027.57,12,December,4,2022,2,February,1,2024,Wednesday,4Q2022,high revenue,Alto,high budget,Media,0.9055749347718571,1801.2363109048724,1,1,1,1,1,1527.1933333333334
Inverse heuristic encryption,2023-07-07,2024-05-15,90612.4,0.15,email,B2B,organic,0.69,123571.95,313,32959.55,7,July,3,2023,5,May,2,2024,Friday,3Q2023,low revenue,Muy bajo,high budget,Alta,0.26672355660002134,394.7985623003195,1,0,0,0,1,1313.223188405797
Realigned empowering initiative,2023-03-06,2024-03-31,18541.27,0.58,email,B2B,paid,0.71,783948.9,391,765407.63,3,March,1,2023,3,March,1,2024,Monday,1Q2023,high revenue,Medio,low budget,Alta,0.9763488793721121,2004.9843989769822,1,1,0,1,1,261.14464788732397
Reduced mobile matrices,2022-08-31,2024-02-17,73723.4,0.74,webinar,B2C,promotion,0.21,62558.41,535,-11164.98999999999,8,August,3,2022,2,February,1,2024,Wednesday,3Q2022,low revenue,Alto,high budget,Baja,-0.17847304622991522,116.93160747663552,1,1,0,1,0,3510.638095238095
Virtual motivating portal,2022-10-31,2024-07-28,60705.69,0.24,webinar,B2B,referral,0.19,575160.34,636,514454.64999999997,10,October,4,2022,7,July,3,2024,Monday,4Q2022,medium revenue,Bajo,high budget,Baja,0.8944543185992274,904.3401572327043,1,0,0,1,0,3195.036315789474
Customizable executive task-force,2022-08-31,2024-02-10,14777.5,0.0,email,B2C,promotion,0.38,865674.86,528,850897.36,8,August,3,2022,2,February,1,2024,Wednesday,3Q2022,high revenue,Muy bajo,low budget,Media,0.9829295031162162,1639.5357196969696,0,0,0,1,0,388.88157894736844
Optional 3rdgeneration open architecture,2023-07-16,2024-07-24,81086.35,0.27,podcast,B2C,organic,0.32,596689.85,374,515603.5,7,July,3,2023,7,July,3,2024,Sunday,3Q2023,medium revenue,Bajo,high budget,Media,0.8641063694983249,1595.4274064171123,1,0,0,1,1,2533.9484375
Networked 6thgeneration neural-net,2022-11-08,2023-09-07,39534.14,0.94,social media,B2B,promotion,0.49,460143.5,303,420609.36,11,November,4,2022,9,September,3,2023,Tuesday,4Q2022,medium revenue,Muy alto,medium budget,Media,0.9140830197536203,1518.625412541254,1,1,1,0,0,806.8191836734694
Open-architected empowering database,2023-05-25,2023-12-26,63786.13,0.21,podcast,B2C,organic,0.43,91479.12,215,27692.989999999998,5,May,2,2023,12,December,4,2023,Thursday,2Q2023,low revenue,Bajo,high budget,Media,0.30272470920140027,425.4842790697674,1,0,0,0,1,1483.3983720930232
Multi-channeled human-resource infrastructure,2023-05-30,2024-04-04,63889.54,0.77,webinar,B2C,paid,0.95,984610.31,310,920720.77,5,May,2,2023,4,April,2,2024,Tuesday,2Q2023,high revenue,Alto,high budget,Muy alta,0.9351118515100659,3176.1622903225807,1,1,0,0,1,672.5214736842105
Distributed intangible software,2022-11-13,2023-11-27,14378.29,0.25,social media,B2B,organic,0.59,689799.85,379,675421.5599999999,11,November,4,2022,11,November,4,2023,Sunday,4Q2022,high revenue,Bajo,low budget,Media,0.979155852237428,1820.0523746701847,1,0,1,1,1,243.6998305084746
Switchable clear-thinking challenge,2022-08-23,2023-08-16,57635.88,0.6,webinar,B2B,organic,0.16,192521.65,358,134885.77,8,August,3,2022,8,August,3,2023,Tuesday,3Q2022,low revenue,Alto,high budget,Baja,0.7006265009675535,537.7699720670391,1,1,0,0,1,3602.2425
Customizable 4thgeneration Internet solution,2022-11-14,2023-08-27,78080.7,0.86,social media,B2B,promotion,0.6,373181.87,286,295101.17,11,November,4,2022,8,August,3,2023,Monday,4Q2022,low revenue,Muy alto,high budget,Alta,0.790770382280361,1304.8317132867132,1,1,1,0,0,1301.345
Reduced zero tolerance policy,2023-01-28,2024-07-10,95263.32,0.4,podcast,B2B,promotion,0.33,352655.66,529,257392.33999999997,1,January,1,2023,7,July,3,2024,Saturday,1Q2023,low revenue,Medio,high budget,Media,0.7298687337103847,666.6458601134215,1,0,1,1,0,2886.767272727273
Profound real-time archive,2023-02-23,2023-12-02,54198.81,0.73,webinar,B2C,referral,0.4,784870.79,282,730671.98,2,February,1,2023,12,December,4,2023,Thursday,1Q2023,high revenue,Alto,high budget,Media,0.9309455636640522,2783.22975177305,1,1,0,0,0,1354.9702499999999
Inverse static support,2022-11-28,2024-03-22,65189.68,0.21,podcast,B2C,referral,0.5,816329.8,480,751140.12,11,November,4,2022,3,March,1,2024,Monday,4Q2022,high revenue,Bajo,high budget,Media,0.9201429618274378,1700.6870833333335,1,0,1,1,0,1303.7936
Total attitude-oriented support,2023-01-08,2024-06-29,85772.21,0.98,podcast,B2B,organic,0.86,755740.83,538,669968.62,1,January,1,2023,6,June,2,2024,Sunday,1Q2023,high revenue,Muy alto,high budget,Alta,0.8865057879696668,1404.7227323420072,1,1,1,1,1,997.3512790697675
Persistent tangible methodology,2023-02-17,2024-07-25,85190.24,0.64,webinar,B2C,promotion,0.48,900744.98,524,815554.74,2,February,1,2023,7,July,3,2024,Friday,1Q2023,high revenue,Alto,high budget,Media,0.9054224648579224,1718.9789694656488,1,1,0,1,0,1774.7966666666669
Robust bi-directional hub,2022-11-01,2023-08-20,87931.71,0.56,email,B2C,referral,0.77,288613.62,292,200681.90999999997,11,November,4,2022,8,August,3,2023,Tuesday,4Q2022,low revenue,Medio,high budget,Alta,0.6953306985304435,988.402808219178,1,1,1,0,0,1141.9702597402597
Virtual content-based standardization,2022-08-23,2024-04-24,34658.91,0.27,social media,B2B,organic,0.59,596524.13,610,561865.22,8,August,3,2022,4,April,2,2024,Tuesday,3Q2022,medium revenue,Bajo,medium budget,Media,0.9418985615887826,977.9084098360656,1,0,0,1,1,587.439152542373
Programmable modular architecture,2023-01-12,2024-01-28,57845.8,0.9,podcast,B2C,paid,0.7,267847.44,381,210001.64,1,January,1,2023,1,January,1,2024,Thursday,1Q2023,low revenue,Muy alto,high budget,Alta,0.7840345235332472,703.0116535433071,1,1,1,1,1,826.3685714285715
Open-source zero administration extranet,2023-06-13,2024-01-13,65653.98,0.47,social media,B2C,paid,0.96,320630.54,214,254976.56,6,June,2,2023,1,January,1,2024,Tuesday,2Q2023,low revenue,Medio,high budget,Muy alta,0.7952347895493673,1498.273551401869,1,0,0,0,1,683.895625
Total asymmetric emulation,2023-03-30,2024-03-15,69996.24,0.77,social media,B2C,paid,0.86,936284.24,351,866288.0,3,March,1,2023,3,March,1,2024,Thursday,1Q2023,high revenue,Alto,high budget,Alta,0.9252403949467312,2667.476467236467,1,1,0,0,1,813.9097674418605
Streamlined attitude-oriented adapter,2023-07-03,2024-07-18,2554.18,0.46,social media,B2B,referral,0.33,575092.19,381,572538.0099999999,7,July,3,2023,7,July,3,2024,Monday,3Q2023,medium revenue,Medio,low budget,Media,0.9955586599080748,1509.4283202099737,1,0,0,1,0,77.39939393939393
Operative demand-driven open system,2022-10-04,2023-10-08,11294.95,0.49,email,B2C,paid,0.95,390218.59,369,378923.64,10,October,4,2022,10,October,4,2023,Tuesday,4Q2022,low revenue,Medio,low budget,Muy alta,0.9710548131497272,1057.5029539295394,1,0,0,1,1,118.8942105263158
Organic impactful approach,2023-07-08,2023-11-26,15971.25,0.94,email,B2B,organic,0.85,296134.8,141,280163.55,7,July,3,2023,11,November,4,2023,Saturday,3Q2023,low revenue,Muy alto,low budget,Alta,0.9460676354146828,2100.2468085106384,1,1,0,0,1,187.89705882352942
Cloned leadingedge moderator,2022-11-11,2024-04-30,36838.48,0.3,email,B2B,referral,0.72,788871.83,536,752033.35,11,November,4,2022,4,April,2,2024,Friday,4Q2022,high revenue,Bajo,medium budget,Alta,0.9533023254233834,1471.775802238806,1,0,1,1,0,511.6455555555556
Versatile well-modulated ability,2023-05-28,2024-03-21,24501.77,0.93,podcast,B2B,referral,0.87,788670.6,298,764168.83,5,May,2,2023,3,March,1,2024,Sunday,2Q2023,high revenue,Muy alto,low budget,Alta,0.9689328218904064,2646.5456375838926,1,1,0,0,0,281.62954022988504
Self-enabling zero tolerance synergy,2023-06-01,2024-05-07,49505.24,0.48,webinar,B2B,promotion,0.87,703788.18,341,654282.9400000001,6,June,2,2023,5,May,2,2024,Thursday,2Q2023,high revenue,Medio,medium budget,Alta,0.9296588925378088,2063.8949560117303,1,0,0,0,0,569.0257471264367
Polarized systematic parallelism,2023-01-03,2024-04-25,5479.95,0.0,social media,B2B,organic,0.62,775127.75,478,769647.8,1,January,1,2023,4,April,2,2024,Tuesday,1Q2023,high revenue,Muy bajo,low budget,Alta,0.99293026214066,1621.6061715481171,0,0,1,1,1,88.38629032258065
Sharable object-oriented algorithm,2023-01-26,2023-11-28,13686.9,0.26,podcast,B2B,referral,0.68,298349.71,306,284662.81,1,January,1,2023,11,November,4,2023,Thursday,1Q2023,low revenue,Bajo,low budget,Alta,0.9541246411803115,974.9990522875818,1,0,1,0,0,201.2779411764706
Progressive systematic architecture,2022-08-15,2024-01-11,7306.71,0.69,webinar,B2B,paid,0.97,541005.28,514,533698.5700000001,8,August,3,2022,1,January,1,2024,Monday,3Q2022,medium revenue,Alto,low budget,Muy alta,0.9864941983560679,1052.5394552529183,1,1,0,1,1,75.32690721649485
Decentralized bi-directional forecast,2023-02-03,2023-11-18,96168.8,0.74,email,B2C,promotion,0.26,138002.71,288,41833.90999999999,2,February,1,2023,11,November,4,2023,Friday,1Q2023,low revenue,Alto,high budget,Baja,0.30313832242859573,479.1760763888889,1,1,0,0,0,3698.8
Multi-lateral coherent hardware,2023-03-20,2023-12-20,80398.7,0.68,social media,B2B,paid,0.77,556040.51,275,475641.81,3,March,1,2023,12,December,4,2023,Monday,1Q2023,medium revenue,Alto,high budget,Alta,0.8554085564737001,2021.965490909091,1,1,0,0,1,1044.138961038961
Digitized fresh-thinking toolset,2023-07-23,2024-03-20,7171.11,0.23,podcast,B2C,referral,0.58,244491.62,241,237320.51,7,July,3,2023,3,March,1,2024,Sunday,3Q2023,low revenue,Bajo,low budget,Media,0.970669301467265,1014.4880497925311,1,0,0,0,0,123.6398275862069
Persistent fresh-thinking parallelism,2022-09-26,2024-07-24,40458.71,0.47,email,B2B,organic,0.6,748950.16,667,708491.4500000001,9,September,3,2022,7,July,3,2024,Monday,3Q2022,high revenue,Medio,medium budget,Alta,0.9459794360682159,1122.863808095952,1,0,0,1,1,674.3118333333333
Up-sized discrete superstructure,2023-04-08,2024-02-16,85035.31,0.35,webinar,B2C,referral,0.69,583929.45,314,498894.13999999996,4,April,2,2023,2,February,1,2024,Saturday,2Q2023,medium revenue,Bajo,high budget,Alta,0.8543740001467643,1859.6479299363057,1,0,0,0,0,1232.3957971014493
Implemented next generation productivity,2022-08-16,2023-12-12,28881.52,0.83,email,B2B,referral,0.74,887826.15,483,858944.63,8,August,3,2022,12,December,4,2023,Tuesday,3Q2022,high revenue,Muy alto,low budget,Alta,0.9674693970210271,1838.1493788819876,1,1,0,1,0,390.2908108108108
Persistent radical approach,2022-10-23,2023-08-15,99891.35,0.8,email,B2C,promotion,0.91,8272.5,296,-91618.85,10,October,4,2022,8,August,3,2023,Sunday,4Q2022,low revenue,Muy alto,high budget,Muy alta,-11.075110305228167,27.947635135135137,1,1,0,0,0,1097.707142857143
Robust dynamic circuit,2022-10-04,2024-04-29,35936.7,0.37,webinar,B2B,referral,0.13,575711.5,573,539774.8,10,October,4,2022,4,April,2,2024,Tuesday,4Q2022,medium revenue,Bajo,medium budget,Baja,0.9375786309635991,1004.7321116928447,1,0,0,1,0,2764.361538461538
Assimilated cohesive contingency,2023-03-10,2024-07-22,52088.32,0.6,podcast,B2B,referral,0.46,85934.39,500,33846.07,3,March,1,2023,7,July,3,2024,Friday,1Q2023,low revenue,Alto,high budget,Media,0.39385943159659365,171.86878,1,1,0,1,0,1132.3547826086956
Distributed heuristic extranet,2022-08-27,2023-12-31,19258.46,0.61,podcast,B2C,promotion,0.22,828613.75,491,809355.29,8,August,3,2022,12,December,4,2023,Saturday,3Q2022,high revenue,Alto,low budget,Baja,0.9767582181685979,1687.6043788187374,1,1,0,1,0,875.3845454545454
Public-key optimizing open architecture,2023-04-01,2023-11-13,35095.84,0.7,social media,B2C,paid,0.26,153946.14,226,118850.30000000002,4,April,2,2023,11,November,4,2023,Saturday,2Q2023,low revenue,Alto,medium budget,Baja,0.7720252031002531,681.1776106194691,1,1,0,0,1,1349.84
Self-enabling secondary methodology,2022-09-22,2024-04-16,89591.74,0.22,podcast,B2C,promotion,0.16,707937.27,572,618345.53,9,September,3,2022,4,April,2,2024,Thursday,3Q2022,high revenue,Bajo,high budget,Baja,0.8734467815206283,1237.65256993007,1,0,0,1,0,5599.48375
Multi-channeled intermediate project,2023-07-10,2024-06-11,30866.33,0.4,webinar,B2C,paid,0.51,487045.64,337,456179.31,7,July,3,2023,6,June,2,2024,Monday,3Q2023,medium revenue,Medio,medium budget,Media,0.9366253848407307,1445.239287833828,1,0,0,0,1,605.2221568627451
Re-engineered 24/7 benchmark,2022-10-07,2023-08-02,60761.56,0.6,podcast,B2C,paid,0.46,560912.6,299,500151.04,10,October,4,2022,8,August,3,2023,Friday,4Q2022,medium revenue,Alto,high budget,Media,0.891673747389522,1875.961872909699,1,1,0,0,1,1320.9034782608694
Automated 6thgeneration solution,2023-04-10,2023-08-27,82351.52,0.99,podcast,B2C,organic,0.27,470489.22,139,388137.69999999995,4,April,2,2023,8,August,3,2023,Monday,2Q2023,medium revenue,Muy alto,high budget,Baja,0.8249661915739536,3384.8145323741005,1,1,0,0,1,3050.0562962962963
Persevering asymmetric orchestration,2022-10-23,2024-03-12,68860.82,0.33,webinar,B2C,organic,0.82,360686.83,506,291826.01,10,October,4,2022,3,March,1,2024,Sunday,4Q2022,low revenue,Bajo,high budget,Alta,0.8090841853028014,712.8198221343874,1,0,0,1,1,839.7660975609757
Enhanced web-enabled knowledge user,2023-04-24,2024-05-25,71941.12,0.99,webinar,B2C,referral,0.67,793615.75,397,721674.63,4,April,2,2023,5,May,2,2024,Monday,2Q2023,high revenue,Muy alto,high budget,Alta,0.9093501861574698,1999.0321158690176,1,1,0,1,0,1073.7480597014924
Multi-tiered fresh-thinking monitoring,2023-01-31,2024-01-23,92487.68,0.5,social media,B2C,organic,0.48,539681.9,357,447194.22000000003,1,January,1,2023,1,January,1,2024,Tuesday,1Q2023,medium revenue,Medio,high budget,Media,0.8286255662826565,1511.714005602241,1,0,1,0,1,1926.8266666666666
Cloned background ability,2023-05-08,2023-08-05,6690.98,0.95,podcast,B2C,referral,0.6,419310.48,89,412619.5,5,May,2,2023,8,August,3,2023,Monday,2Q2023,medium revenue,Muy alto,low budget,Alta,0.984042898236171,4711.353707865168,1,1,0,0,0,111.51633333333332
